date,ex,ey,ez
2452640.5,-0.17116679,0.88381234,0.38317609
2452641.5,-0.18835706,0.88084952,0.38189206
2452642.5,-0.2054883,0.87760963,0.38048785
2452643.5,-0.22255475,0.87409376,0.37896389
2452644.5,-0.23955074,0.87030318,0.37732071
2452645.5,-0.25647067,0.86623931,0.37555889
2452646.5,-0.27330908,0.8619037,0.37367911
2452647.5,-0.29006057,0.857298,0.37168209
2452648.5,-0.30671986,0.85242396,0.36956857
2452649.5,-0.32328177,0.84728339,0.36733937
2452650.5,-0.33974121,0.84187821,0.36499532
2452651.5,-0.35609317,0.83621036,0.3625373
2452652.5,-0.37233271,0.83028188,0.35996621
2452653.5,-0.388455,0.82409485,0.35728297
2452654.5,-0.4044553,0.81765141,0.35448855
2452655.5,-0.42032892,0.81095373,0.35158393
2452656.5,-0.4360713,0.80400401,0.34857008
2452657.5,-0.45167792,0.79680446,0.345448
2452658.5,-0.46714433,0.78935732,0.3422187
2452659.5,-0.48246612,0.78166478,0.33888314
2452660.5,-0.49763888,0.77372907,0.33544232
2452661.5,-0.51265819,0.76555238,0.3318972
2452662.5,-0.5275196,0.75713698,0.32824876
2452663.5,-0.54221858,0.74848515,0.32449796
2452664.5,-0.55675057,0.73959925,0.32064583
2452665.5,-0.57111093,0.73048178,0.3166934
2452666.5,-0.58529502,0.72113533,0.31264177
2452667.5,-0.59929815,0.71156266,0.3084921
2452668.5,-0.61311566,0.70176668,0.30424559
2452669.5,-0.62674294,0.69175048,0.29990355
2452670.5,-0.64017543,0.68151729,0.29546735
2452671.5,-0.65340868,0.67107051,0.29093844
2452672.5,-0.66643836,0.66041365,0.28631831
2452673.5,-0.67926027,0.64955038,0.28160854
2452674.5,-0.69187036,0.63848441,0.27681074
2452675.5,-0.70426474,0.62721956,0.27192657
2452676.5,-0.71643963,0.6157597,0.26695772
2452677.5,-0.72839142,0.60410874,0.2619059
2452678.5,-0.74011661,0.59227064,0.25677285
2452679.5,-0.75161184,0.58024938,0.25156031
2452680.5,-0.76287387,0.56804897,0.24627005
2452681.5,-0.77389957,0.55567345,0.24090385
2452682.5,-0.78468594,0.54312686,0.23546349
2452683.5,-0.79523011,0.53041326,0.22995076
2452684.5,-0.8055293,0.51753669,0.22436746
2452685.5,-0.81558086,0.50450116,0.21871535
2452686.5,-0.82538221,0.49131067,0.21299618
2452687.5,-0.83493086,0.47796915,0.2072117
2452688.5,-0.84422433,0.46448049,0.20136359
2452689.5,-0.85326013,0.45084857,0.19545355
2452690.5,-0.86203576,0.43707724,0.18948322
2452691.5,-0.87054867,0.42317039,0.18345429
2452692.5,-0.87879627,0.409132,0.17736843
2452693.5,-0.88677597,0.39496611,0.17122736
2452694.5,-0.89448515,0.3806769,0.16503286
2452695.5,-0.90192126,0.36626869,0.15878675
2452696.5,-0.90908183,0.35174589,0.15249092
2452697.5,-0.91596446,0.33711306,0.14614729
2452698.5,-0.92256688,0.32237484,0.13975786
2452699.5,-0.92888697,0.30753599,0.13332467
2452700.5,-0.93492274,0.29260133,0.12684979
2452701.5,-0.94067236,0.27757574,0.12033535
2452702.5,-0.94613418,0.26246415,0.11378347
2452703.5,-0.95130669,0.2472715,0.10719631
2452704.5,-0.95618855,0.23200275,0.10057604
2452705.5,-0.96077858,0.21666288,0.09392483
2452706.5,-0.96507572,0.20125682,0.08724485
2452707.5,-0.96907908,0.18578951,0.08053827
2452708.5,-0.97278788,0.17026587,0.07380723
2452709.5,-0.97620148,0.15469078,0.0670539
2452710.5,-0.97931938,0.1390691,0.06028041
2452711.5,-0.98214118,0.12340564,0.05348887
2452712.5,-0.98466662,0.10770514,0.04668137
2452713.5,-0.98689554,0.09197231,0.03985998
2452714.5,-0.98882785,0.07621174,0.03302672
2452715.5,-0.99046356,0.06042797,0.02618356
2452716.5,-0.99180268,0.04462542,0.01933244
2452717.5,-0.99284523,0.02880846,0.01247524
2452718.5,-0.99359117,0.01298141,0.00561382
2452719.5,-0.99404043,-0.00285139,-0.00124998
2452720.5,-0.9941929,-0.01868557,-0.00811429
2452721.5,-0.99404842,-0.03451668,-0.01497725
2452722.5,-0.9936069,-0.05034017,-0.02183691
2452723.5,-0.9928683,-0.06615138,-0.0286913
2452724.5,-0.99183267,-0.08194558,-0.0355384
2452725.5,-0.99050021,-0.09771797,-0.04237617
2452726.5,-0.98887122,-0.11346369,-0.0492025
2452727.5,-0.98694619,-0.12917785,-0.0560153
2452728.5,-0.98472573,-0.14485554,-0.06281244
2452729.5,-0.98221063,-0.16049185,-0.06959179
2452730.5,-0.9794018,-0.17608189,-0.07635121
2452731.5,-0.97630033,-0.19162078,-0.08308859
2452732.5,-0.97290743,-0.20710368,-0.0898018
2452733.5,-0.96922449,-0.2225258,-0.09648875
2452734.5,-0.96525298,-0.2378824,-0.10314734
2452735.5,-0.96099454,-0.25316881,-0.10977552
2452736.5,-0.95645091,-0.2683804,-0.11637127
2452737.5,-0.95162395,-0.28351263,-0.12293258
2452738.5,-0.94651564,-0.29856106,-0.12945748
2452739.5,-0.94112802,-0.31352128,-0.13594406
2452740.5,-0.93546328,-0.32838904,-0.14239042
2452741.5,-0.92952365,-0.34316013,-0.14879474
2452742.5,-0.92331144,-0.35783051,-0.15515522
2452743.5,-0.91682899,-0.37239621,-0.16147015
2452744.5,-0.91007865,-0.38685341,-0.16773786
2452745.5,-0.90306274,-0.40119837,-0.17395675
2452746.5,-0.89578351,-0.41542741,-0.18012525
2452747.5,-0.88824314,-0.42953689,-0.18624182
2452748.5,-0.88044376,-0.44352312,-0.19230491
2452749.5,-0.87238745,-0.45738238,-0.19831294
2452750.5,-0.86407633,-0.47111083,-0.20426431
2452751.5,-0.85551259,-0.4847046,-0.21015738
2452752.5,-0.8466985,-0.49815972,-0.21599045
2452753.5,-0.83763647,-0.51147222,-0.22176183
2452754.5,-0.82832907,-0.52463812,-0.2274698
2452755.5,-0.81877896,-0.53765343,-0.23311265
2452756.5,-0.80898897,-0.55051423,-0.23868867
2452757.5,-0.79896205,-0.56321661,-0.24419614
2452758.5,-0.78870128,-0.57575673,-0.2496334
2452759.5,-0.77820984,-0.58813079,-0.25499878
2452760.5,-0.76749105,-0.60033509,-0.26029065
2452761.5,-0.75654834,-0.61236599,-0.26550741
